reward,difficulty,duration,offer_id_t,web,email,mobile,social,bogo,discount,informational,mem_id_t,time,gender,age,income,membership_year,membership_month,membership_day,offer completed,offer received,offer viewed,transaction
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,4b0da7e80e5945209a1fdddfe813dbe0,408,M,64.0,100000.0,2017,9,Saturday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,1e9420836d554513ab90eba98552d0a9,504,M,22.0,70000.0,2017,9,Monday,0,1,0,Not Completed
0,0,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1,1,0,0,1,39dbcf43e24d41f4bbf0f134157e0e1e,504,M,76.0,64000.0,2014,8,Sunday,0,1,0,Not Completed
0,0,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1,1,0,0,1,3f244f4dea654688ace14acb4f0257bb,336,M,66.0,71000.0,2018,7,Tuesday,0,1,0,Not Completed
0,0,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1,1,0,0,1,1c587de019994f93a242c6864fd7bc55,336,F,90.0,98000.0,2015,12,Thursday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,92e07c49ee7448fca6e48df0c96e3eec,336,F,66.0,58000.0,2018,2,Friday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,8a4bc602e4424ab6b16f0b907f2f22af,576,M,55.0,31000.0,2017,12,Sunday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,81e9ad5fa55a4884b65e01a5db8f1b4e,576,M,79.0,67000.0,2016,6,Monday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,a1eb338ccbca4cc88c9366939f16d819,408,M,47.0,66000.0,2013,12,Monday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,348bdc19d65f49b8b98f72c59e64cd89,576,F,50.0,69000.0,2017,11,Wednesday,0,1,0,Not Completed
0,0,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1,1,0,0,1,348bdc19d65f49b8b98f72c59e64cd89,408,F,50.0,69000.0,2017,11,Wednesday,0,1,0,Not Completed
0,0,3,5a8bc65990b245e5a138643cd4eb9837,0,1,1,1,0,0,1,ae47fbe72b274838a2093c3e91bc03dc,408,M,54.0,118000.0,2017,2,Thursday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,b7658a8eab2f42668a9d66499b001e88,168,F,57.0,81000.0,2016,5,Sunday,0,1,0,Not Completed
0,0,4,3f207df678b143eea3cee63160fa8bed,1,1,1,0,0,0,1,f970eafddcb34154aa4d646b4a71ca34,336,F,66.0,87000.0,2015,10,Thursday,0,1,0,Not Completed
